title,author,image_url,description,rating,price,review,type
The Great Gatsby,F. Scott Fitzgerald,https://munchweb.com/wp-content/uploads/2017/10/rich-dad-poor-dad.jpg,A classic novel of the American dream, set in the 1920s.,4.5,10.99,A beautifully written story about love and loss.,New Arrival
1984,George Orwell,https://m.media-amazon.com/images/I/41nCe4AN0wL._SL500_.jpg,A dystopian novel about totalitarianism and surveillance.,4.8,12.50,Chilling and thought-provoking; a must-read.,New Arrival
To Kill a Mockingbird,Harper Lee,https://m.media-amazon.com/images/I/51OCa5xBMrL.jpg,A novel about racial injustice and moral growth.,4.7,11.99,Powerful and moving; unforgettable characters.,Deals
Pride and Prejudice,Jane Austen,https://i5.walmartimages.com/asr/4b16cc62-479f-4ce1-a527-bcb43fc2fea6_1.ac98b29a1157aa5008fb80bfb23ed1af.jpeg,A romantic novel that explores the themes of love and class.,4.6,9.99,Witty and romantic; Austen's best work.,Deals
The Catcher in the Rye,J.D. Salinger,https://www.calmsage.com/wp-content/uploads/2020/05/the-Little-Book-Of-Psychology.png,A novel about teenage rebellion and alienation.,4.2,10.50,A timeless exploration of adolescence.,Books
Moby Dick,Herman Melville,https://fourminutebooks.com/wp-content/uploads/2020/11/psychology-books-9.jpg,An epic tale of obsession and revenge on the high seas.,4.1,12.00,A challenging yet rewarding read.,Books
War and Peace,Leo Tolstoy,https://www.onlinepsychologydegree.info/wp-content/uploads/2020/01/41mPlP7N50L._SX331_BO1204203200_.jpg,A historical novel that weaves together personal and political narratives.,4.4,14.99,A masterpiece of world literature.,Books
The Hobbit,J.R.R. Tolkien,https://m.media-amazon.com/images/P/0310366070.01._SCLZZZZZZZ_SX500_.jpg,A fantasy adventure that introduces the world of Middle-earth.,4.6,8.99,A delightful journey for readers of all ages.,E-Books
Fahrenheit 451,Ray Bradbury,https://m.media-amazon.com/images/P/1118348117.01._SCLZZZZZZZ_SX500_.jpg,A dystopian novel about a future where books are banned.,4.3,11.50,A powerful commentary on censorship.,E-Books
Brave New World,Aldous Huxley,https://d28hgpri8am2if.cloudfront.net/book_images/cvr9781439149959_9781439149959_hr.jpg,A dystopian story about a technologically advanced society.,4.5,12.00,Provocative and disturbing in its relevance.,Audio
The Alchemist,Paulo Coelho,https://2f96be1b505f7f7a63c3-837c961929b51c21ec10b9658b068d6c.ssl.cf2.rackcdn.com/products/028389.jpg,A philosophical tale about pursuing one's dreams.,4.7,9.99,Inspirational and beautifully written.,Audio
Jane Eyre,Charlotte Brontë,https://cdn2.penguin.com.au/covers/original/9780241225929.jpg,A gothic romance novel about love and independence.,2.8,10.50,A compelling narrative of strength and resilience.,Events
The Picture of Dorian Gray,Oscar Wilde,https://s2982.pcdn.co/wp-content/uploads/2021/02/the-history-of-the-ancient-world.jpg.optimal.jpg,A philosophical novel exploring vanity and moral duplicity.,4.3,11.99,Wilde's wit shines in this timeless tale.,Education
The Brothers Karamazov,Fyodor Dostoevsky,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781416554950/harry-a-history-9781416554950_hr.jpg,A profound exploration of faith, free will, and morality.,4.5,13.50,A deep and challenging read.,Interests
The Road,Cormac McCarthy,https://allthatsinteresting.com/wordpress/wp-content/uploads/2019/11/age-of-augustus-cover.png,A post-apocalyptic tale of survival and love.,3.4,12.99,Haunting and beautifully written.,Role
The Kite Runner,Khaled Hosseini,https://fourminutebooks.com/wp-content/uploads/2019/03/best-finance-books-think-and-grow-rich.jpg,A story of friendship and redemption set in Afghanistan.,4.7,11.50,Emotionally gripping and beautifully told.,Work
The Book Thief,Markus Zusak,https://fourminutebooks.com/wp-content/uploads/2019/03/best-finance-books-i-will-teach-you-to-be-rich.jpg,A story narrated by Death about a girl in Nazi Germany.,4.8,13.00,Unique and heart-wrenching.,Work
The Da Vinci Code,Dan Brown,https://fourminutebooks.com/wp-content/uploads/2019/03/best-finance-books-the-millionaire-fastlane.jpg,A thriller that blends history, art, and conspiracy.,3.8,9.99,A fast-paced and engaging read.,Work
The Catch-22,Joseph Heller,https://fourminutebooks.com/wp-content/uploads/2019/03/best-finance-books-i-will-teach-you-to-be-rich.jpg,A satirical novel about the absurdity of war.,4.5,10.99,Clever and thought-provoking.,Role
The Perks of Being a Wallflower,Stephen Chbosky,https://www.luckymojito.com/wp-content/uploads/2019/05/best-personal-finance-books-512x1024.jpg,A coming-of-age story told through letters.,4.4,12.00,Relatable and heartfelt.,Role
Little Fires Everywhere,Celeste Ng,https://cdn.hackr.io/uploads/posts/attachments/life-3-0-being-human-in-the-age-of-artificial-intelligence1.jpg,A novel about family dynamics and social issues.,4.5,11.99,Compelling and thought-provoking.,Deals
Circe,Madeline Miller,https://introducingbooks.com/files/2018/11/9781785785160.jpg,A retelling of the story of Circe, a figure from Greek mythology.,1.6,13.50,Richly woven and enchanting.,Deals
The Night Circus,Erin Morgenstern,https://fivebooks.com/app/uploads/2015/11/0993211623.01.LZ_-314x471.jpg,A magical tale of a competition between two young illusionists.,4.5,14.99,Visually stunning and imaginative.,Deals
